县名称,县编码
离石区,141102
文水县,141121
交城县,141122
兴县,141123
临县,141124
柳林县,141125
石楼县,141126
岚县,141127
方山县,141128
中阳县,141129
交口县,141130
孝义市,141181
汾阳市,141182
